emotion,ID,task,type,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,mc1,mc2,programming exp,age,gender,education,ethnicity,algorithm definition
,R_2w0kjqPBR60IBVZ,4,4,5,it's fair because it's what it is supposed to do and whom to evauluate,4,4,4,3,3,3,easier to understand for him,4,can't trust it too much being that is is computer based and things are random,0,1,2,24,1,4,2,a way to analye big time data and be able to make and better guess or
,R_3MaGSHzKmwmFB8q,4,4,6,If analyses are done for every employee it seems fair enough.,4,4,4,4,4,4,Not enough information.,4,Depends how good the algorithm is. It is unbiased but the programming needs to be good,0,2,1,24,1,5,4,programs/codes
,R_2f7AAvHqEW4bynO,4,4,3,"I don't feel that performance can be 'graded' based totally on a computer. Other things should be factored like knowledge, understanding, and follow through.",3,3,3,5,5,5,What if a customer just has a voice that seems like it sounds bad but they are happy with their experience?,2,There are too many variables that could come into play that aren't factored into the algorithm.,0,1,3,32,2,2,1,A set of rules in a program that look for certain things to decide an outcome.
,R_1eLSgkfXWB8ooog,3,4,6,"The algorithm uses certain set rules to select certain candidates, as long as the same rules are applied to everyone it is fair.",4,4,4,4,4,4,I do not think Chris would feel any of the above unless he was selected for an interview.,6,I trust the algorithm to make good decisions based on what the applicant has on their resume.,0,2,1,32,2,5,2,algorithms are computer programs which are input information so they can make certain decisions.
,R_3mmjQUiMK2ocpLW,3,4,2,It should be a person making the decisions and there could be mistakes.,2,2,2,6,6,6,Chris would feel better if a person made the decisions over a program.,1,The algorithm could make mistakes.,0,1,2,29,2,5,1,Programs that analyze data to make decisions.
,R_2uxGxelWaR4FZLh,3,4,6,"It seems to be fair.  The algorithm provides a logical, mechanical view while the manager provides a human view so it is covered by both logic and emotion and human intuition, so it seems very fair.",5,5,5,3,3,3,"If Chris feels that he is the best for the job, he should be happy that the system and manager will probably pick him.",5,It covers a human and machine aspect so I think those combined will provide very good results.,0,1,1,28,1,3,1,They're machines or systems made to sort through data and make decisions
,R_25vyA3eLvBWtgT2,2,4,6,the computer makes the best choices,4,4,4,3,4,3,he probably just accepts it,6,it makes the best decisions based on the data,0,1,1,24,2,3,3,coding
,R_2xVMR1EKozpGATX,2,4,5,"People will most likely have other committments to attend to in their day. But if business needs the employee at a certain time, then make it happen.",5,5,3,4,3,4,"I don't know Chris, so his reaction might go either way.",5,"The program can recongize when customers at shopping at the store, and adjust the workforce to the customers needs.",0,1,2,35,2,2,2,Programs design to create more efficent situations.
,R_8k2HaECG2YRDZ17,2,4,4,"As long as Chris isn't deliberately attempting favoritism, this process is valid and justified.",5,6,2,2,3,3,Chris most likely attempts to act as fairly as possible.,4,Chris seems like a reasonable person.,0,2,2,21,2,3,2,A set of instructions that a computer follows.
,R_3imalXXuizReiA5,1,4,6,I think since it is assigned to him fairly so unless he ends up always getting chosen then it is fair.,3,2,4,5,2,4,I think that for the most part he feels indifferent to the fact that he is chosen and just does the job he is told to do.,3,I think that it makes the decision based on past problems but it isn't going to always know what will happen next.,0,2,1,25,2,3,1,Computers that use past data to make choises about what to do.
,R_DpYJZpmH3ketDgt,1,4,7,I don't see how it couldn't be fair,4,4,4,4,4,4,"It's just his job, he would be assigned one anyways, I don't see how he would feel any different",7,Algorithms tend to function efficiently if created properly,0,1,3,29,1,5,1,steps with which to solve a problem
,R_aaatGOa0AnYvVTP,4,3,5,"It seems that as long as the algorithm is applied consistently, it should be fair, although a computer can't take into account all the relevant factors - it could be flawed.",4,2,4,3,3,5,"I would assume he would be ok with the system, although he might feel more comfortable with a more personalized system.",4,"I find it hard to believe that a computer could make the right judgement call in all situations - it might create a good baseline, but it could also be flawed.",0,3,1,36,1,5,1,A sophisticated computer program that can predict outcomes fairly accurately.
,R_1nO7zCK4keZSrJx,4,3,1,An algorithm is unable to account for all the nuances involved in an interaction,1,1,1,1,5,7,"It is frustrating to be thought of as a corporate robot, and have expectations that you stay on script.",1,I don't believe an algorithm can correctly equate human emotion.,0,3,1,33,1,4,1,Algorithms are mathematical equations that predict what will happen.
,R_syPxVmAUDA9an1T,4,3,6,"Algorithms are generally quite accurate, and any mistakes that the algorithm might make can be corrected by the manager.",3,4,2,4,4,5,"I think Chris might feel a little apprehensive about being judged by a machine, but as long as it's functioning properly, everything should work out.",6,Algorithms - when programmed correctly - are highly accurate!,0,3,2,21,1,5,1,Algorithms are patterns of data that organize and monitor different actions done through a network.
,R_32WoUzWDlo7nUSS,3,3,5,It seems fair to me . I dont really know how to explain,4,4,4,3,3,3,HE applied but that doesnt mean he is gonna get the job,4, algorithm was designed to help weed out the not qualified .,0,3,1,30,1,2,1,Code to  weed out certain items .
,R_1jN6cYiOZkCzN1I,3,3,7,"Companies save a lot of time and money by allowing an algorithm sort through top applicants.  If a person manually had to sort through thousands of applications, it would take forever and with the algorithm, you can program exactly what you're looking for in a candidate.",4,4,1,5,5,6,"Chris may feel a bit frustrated, angry and disappointed to know that there's a chance his application won't thoroughly get looked at.",7,The algorithm is  programmed to specific standards.  I'm certain the ground work has been properly laid out for who is eligible and who isn't.,0,2,2,25,2,4,2,A rule set for the way a computer acts.
,R_2eXZARWGmPbNycb,2,3,6,"Without other schedules known or other factors contributing why Chris is scheduled in the morning, one will assume that it is fair.",5,5,5,1,1,1,"Again, without other knowledge of other factors, Chris should be feeling okay with the schedule he has as it is his job.",5,"There are no indication that the algorithm fails, so I trust it.",0,3,2,26,1,3,4,Algorithms are computer calculations based on some inputs made by humans.
,R_21dkf17sA4Nq46Z,2,3,6,"the machine sets up the schedule, but the manage overlooks it so he knows who is working and when",4,4,4,4,4,2,i dont think he should be upset or any emotions towards it because the manager overlooks the whole process,4,An algorithm is not perfect so I think it is good to start the schedule but it needs to be overlooked,0,3,1,32,1,5,3,Mathematical equations that give a certain result given a set a parameters
,R_1j7AWgcZPesFOii,2,3,6,DOESNT UNDER SCHEDULE BUT SHOULD HAVE ADEQUITE STAFF,6,5,5,3,2,1,HE LIKES THE COMPUTER DOING THE WORK FOR HIM,5,"ITS NEVER ACCURATE, THINGS COULD BE GOING ON WITH HIGHER TRAFFIC VOLUMES",0,2,1,26,1,3,1,A MATH PROBLEM THE COMPUTER DOES FOR YOU
,R_2woc9e7tyoP8t1W,1,3,5,Why shouldn't an algorithm assign the task?,1,1,1,1,1,1,It's a pretty neutral thing to do.   I think Chris feels pretty damn neutral about everything.,6,Why not trust?  Has the algorithm shown itself to be untrustworthy?,0,3,1,43,1,5,1,"A computer program, using math."
,R_1j86pIYoEGum27F,1,3,5,The algorithm was made so that it can know for sure which parts are in need of maintenance,4,4,4,2,2,2,I don't see how Chris would be upset with this,6,"If it didn't make good decisions, then it wouldn't be used.",0,3,1,23,2,5,1,Program that can make work easier
,R_8e1m9OC4zRMgzcZ,4,2,5,It is fair because it takes into account the actual work.,3,5,5,5,4,4,I feel like Chris will be aware of his performance.,4,The manager seems trustworthy and knows what he wants.,0,1,1,22,2,5,1,They compute what happens.
,R_3G8MNumLUQC7dG1,4,2,1,algorithms do not take into consideration unexpected circumstances.  What if Chris was sick that day and it changed the tone of his voice?,1,1,1,7,7,7,He would feel like he had been ignored as a human being and teated as if he was just a machine.,1,You can not use a machine to measure the human element.,0,2,1,38,1,3,1,mathmatical computations of specific paramaters.
,R_27lIKYC6TnvxpyW,2,2,6,It is fair because Chris's availability is taken into consideration.,6,4,4,2,2,2,I think he'd be perfectly happy to be scheduled for the times he put down as available.,5,It seems like using this process would lead to good scheduling.,0,2,1,35,1,3,1,They're processes that computers use to analyze data and suggest the best outcome.
,R_23f8fJkrz201PKS,2,2,5,"It's not really his choice, it's up to the algorithm. It's fair.",3,2,2,5,3,5,"He would probably be annoyed, but get used to it. There's not much to argue about.",5,"If it's a known algorithm, it will be fair and the same process for every employee",0,1,2,26,2,4,1,A formula that you can plug variables into.
,R_1myN3NS4TomumCM,1,2,6,"I do not see the word choice of description on the manager's decision making process as being a matter of justice. So, it's fair"" I guess."""" do not see th""",1,1,1,1,1,1,It's hard to imagine Chris feeling anything in particular about such a routine part of work.,5,I don't have enough information about the manager to make a good judgement.,0,2,3,23,1,3,1,"An algorithm is just a word for a problem solving process, usually used in reference to computers."
,R_55QzCk4OCbtMB9v,4,1,3,Some kind of error could hurt his evaluation.,4,3,3,4,4,5,"If he does poorly, he might be frustrated with the algorithm and question how well it works",2,Technology is not yet advanced enough to evaluate somebody like that in their job,2,0,1,20,2,3,1,They are computer programs that use past information to make reasonable choices
,R_eba8Z66QFQJq8mt,4,1,4,I dont know enough about the algorithm.,3,3,2,4,4,5,Without knowing anything else I imagine the monitoring would not please chris,1,I dont trust things like this when I know nothing about them.  trust is earned.,2,0,1,47,2,5,1,mathematical constructs employed for specific processes
,R_1jg1CzE1PuGppC4,4,1,2,I disagree that a machine should be able to evaluate a human.,2,2,2,6,5,6,I just think if I were him I would be upset that I wasn't being evaluated by a human being,1,"A machine can never understand human nature, tones or emotions and is in no position to make such evaluations",2,0,1,34,1,5,3,rules based on previous research that a computer uses
