emotion,ID,task,decision maker,HitL mc,MC Human OR,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
4.0,R_24hIN8eWxbjDWZ3,2,1,1,0,0.0,0.0,4,nothing in life is fair,4,4,4,4,4,4,i dont know chris,1,its a computer i dont trust it,2,27,2,5,1,computer programs
4.166666666666667,R_1mmiO243HPdavxi,4,1,1,0,0.0,0.0,4,it just makes senes 2 me,4,4,5,4,3,5,i feel that way,4,i oculd trust it a little,2,32,2,3,1,computer using data to make answers
4.0,R_1NqSDpY0IaH6Xei,2,2,3,I am not sure,0.0,0.0,4,No opinion,2,2,3,2,3,2,0,4,0,1,25,2,2,1,0
3.3333333333333335,R_2t5av5oGbugkr1s,4,5,5,0,0.0,0.0,6,An assessment is an expected and reasonable part of the work process.,3,3,4,5,4,5,It's not exciting being evaluated because it introduces risk to one's job.,4,"I don't know this person, but I trust most people somewhat.",3,32,2,5,1,0
3.0,R_3kdIca69q065NSC,4,5,5,0,0.0,0.0,4,i have no idea what the manager is evaluating. wtf is tone of thier calls telling him.,1,1,1,1,1,7,cuz chris doesnt know wtf the manager is doing either,1,far as i can tell may as well call my evaltuion voodoo,3,45,2,5,7,0
4.0,R_V53LksMgW6diZTb,2,5,5,0,0.0,0.0,4,The manager is scheduling based upon the worker's ability,4,4,4,4,4,4,I don't know Chris so I don't know how he would feel. ,5,I don't know what data points he is using to make the decision. ,1,38,1,4,1,0
5.833333333333333,R_vuhgVIDss9TKFbz,2,5,5,0,0.0,0.0,7,The manager has the power to schedule Chris when he needs him. The manager checked the availability of employees.,5,5,4,1,1,1,I feel like most people like working in the mornings the most.,6,If he took into consideration the employess schedules and availability then he should be trusted. ,1,25,2,3,1,0
6.5,R_2A0RPCtktgWbjZx,2,4,3,the manager gave the algorithm the power to decide the scheduled hours,0.0,0.0,6,"it gives everyone equal hours, not favored ",6,7,7,2,2,1,he gets good hours,6,they can set it to be equal ,2,23,1,3,1,some type of demand or program for computers to read
5.333333333333333,R_21AQ7g02XuHB9eL,2,3,3,"The manager uses the algorithm, which bases scheduling on availability and business of the coffee shop.",0.0,0.0,6,There are no biases to algorithm.  It is when he is available and needed the most.,5,4,4,1,2,2,I would think that Chris was just happy to have a job and didn't really have much of problem either way.,6,It is a sound logic for his algorithm.  ,1,37,2,5,1,Data-driven analyses that then give solutions.
4.166666666666667,R_b30FjevCnJceT4d,3,4,1,"the manager is in person, the algorithm uses data. ",1.0,0.0,5,an algorithm can't capture the soul and character of a person completely. ,5,3,5,5,4,3,i think he has mixed feelings. ,4,an algorithm is useful but not 100 percent accurate. ,2,22,1,5,1,analyzes data. 
3.5,R_29uB4mhxRU2S79M,4,1,1,0,0.0,0.0,5,AI can detect human tone changes in details ,3,3,3,4,4,4,It decreases the bias towards him. He could make good friend with a person who would evaluate him but he wouldn't be able to persuade the algorithm externally,5,AI can detect small changes,2,25,1,5,4,mathematical program
4.5,R_2s0UDaDT3orjmXr,2,1,1,0,0.0,0.0,6,"There is no human involvement, therefore there is no room for bias.",4,4,4,3,3,3,I do not see why he would be angry with something that is objective.,6,I would trust an algorithm more than a person to decide my schedule.,2,26,1,5,1,Algorithms are basic math that assigns value.
5.5,R_1kY6in8hFyKRKyv,3,5,5,0,0.0,0.0,6,The fact that he takes the time to read the resumes and picks the top candidates is a fair thing to everyone. ,6,5,6,3,2,3,He should be happy that the manages is being fair; he has a good chance. ,6,He is making a fair selection. ,2,24,1,5,3,0
5.833333333333333,R_2Pi2M0kEpZ3x1FG,3,2,3,The manager selected the top candidates from those the algorithm determined,0.0,0.0,7,It was based on an algorithm so there's no human error or bias,6,5,4,1,1,2,He should feel good know he is one of the top,6,The algorithm is doing most of the work so there's little room for error,3,31,2,4,1,A set of computer rules that can determine things
5.333333333333333,R_A67dOCTg4L4Bs2J,1,2,3,The manager made decisions based on the information that he was given by the algorithm's results.,0.0,0.0,6,The algorithm is objective and as fair as fair can get.,4,4,5,2,2,1,"He was chosen based on statistics... nothing else, so he shouldn't feel bad about doing it",5,I believe that he would read the algorithm's results and assign people accordingly,2,22,1,5,2,Statistical measures that help explain certain instances
3.8333333333333335,R_1hYKzGn7wpHbpWU,1,3,3,The manager looks at the algorithm and assigns tasks to the maintenance worker. ,0.0,0.0,6,"It isn't his job to monitor the maintenance needed, but he performs the maintenance.",3,2,3,3,3,3,I think he would mostly feel neutral. It is his job to check the machines.,6,"It is programmed to analyze things, and it will likely do it well. ",1,29,1,6,1,"Basically, computer programs that are designed to perform a specific task. "
4.5,R_vU1sw3klWLZi2op,3,3,1,The algorithm makes the final decision,1.0,0.0,5,I seems like a fair method to pick a person,5,5,5,2,5,5,Chris would feel fairly treated on the decision,6,The system seems to work well and is fair to all candidates,2,39,1,4,1,A computer system to generate the best candidates
2.5,R_XRje1YaIpteYoKJ,4,1,1,0,0.0,0.0,3,computers can't account for a persons tone of voice,2,2,4,5,6,6,Chris would be frustrated because a computer is judging his performance concerning human interaction,2,"again, computers cannot judge the nuances of human emotion",1,34,1,5,4,computer models that combine statistics and data to make a decision
5.166666666666667,R_24rpmEAm58KcvNT,1,3,3,The algorithm assigns tasks. The manager monitors and adjusts the algorithm.,0.0,0.0,5,The manager is able to manipulate the algorithm so it is not entirely fair to Chris.,5,5,6,2,3,4,Chris is happy to do his job.,5,I don't know if Chris' manager is good at his job or fair.,2,32,2,3,1,It is a predetermined set of actions to be performed.
3.3333333333333335,R_3RrQaNoElKijRu6,2,4,3,Being able to come up with good work times for employees ,0.0,0.0,3,I dont see how the algorithm justifies Chris working in the mornings.,4,2,2,5,2,5,Maybe Chris doesn't want to work only mornings and is upset at having to wake up early etc.,3,I dont see a reason for algorithm in terms of good quality employee scheduling. ,1,60,1,2,1,Putting in certain stats or numbers to come up with a average or bases for future things
5.0,R_2AHl1cbYaXmI59v,1,2,3,"The algorithm analyzed the breakdown rate of the components and gave results to the manager, who assigns employees to check up on and fix components accordingly.",0.0,0.0,6,The algorithm has no invested interest or personal bias and it doesn't seem like the manager has any other motivation to assign the task to Chris.,4,4,4,2,2,2,"I think that Chris would be okay with the assignment, as it doesn't seem particularly out of the ordinary or terrible.",6,"I think the manager, without knowing too much about him, would have the best interest of his employees and the business at heart.",2,27,2,5,6,A specific formula or process that analyzes a given task or set.
3.5,R_3EmcP7ln94JNzUn,4,2,3,The algorithm was used by the manager to analyze the workers.,0.0,0.0,5,The algorithm must be producing positive results for the center so it works.,4,4,4,5,5,5,He probably doesn't want to adhere to the algorithm.,6,It is an algorithm the center put into place so it must be trustworthy.,2,24,2,3,4,"Algorithms are a set of rules to do something, in this case analyzing performance."
4.0,R_2UaXEyyjJZ7WExz,4,4,1,human ,1.0,0.0,6,the fair of theme ,6,5,6,6,5,6,i feel lot,6,i have the thought ,3,32,2,5,5,my mind 
3.6666666666666665,R_1QuPvR4Uz8s32Mm,3,2,3,the algorithm selects the top candidates and the manager interviews the candidates,0.0,0.0,5,the algorithm is designed to weed out the bes clients. Its not the best and most accurate method but managers do not always have time to comb through hundreds of resumes,4,3,4,4,3,6,it's frustrating to know that the manager did not actually select him personally,4,the algorithm is set to select ony the best candidates for the position based on the information exported from the resumes,2,30,1,3,4,program that is able to sort data based on your requirements
4.5,R_yRdHNqOd2Syvbjz,2,2,3,"the algorithm looks at availability and need then chooses who should come in, The human looks at the recommendations and makes the final call.",0.0,0.0,6,The algorithm keeps people from coming in when there is no work for them,4,4,4,3,2,4,I think he would understand why his schedule was the way it was.,5,"The manager knows what he is doing, he mixes his knowledge with the algorithm to make the correct choice.",1,33,2,3,1,A set of rules 
5.0,R_VJOgX5C80Gmmv9T,3,5,5,0,0.0,0.0,7,How else would you do it? I think it is fair for the manager to analyze the online information.,4,4,4,2,1,3,The statement does not indicate whether or not Chris was selected for an onsite interview. ,5,It is hard to make a decision with that many applicants. ,1,53,2,5,1,0
3.3333333333333335,R_2yl47TRawy8KRCs,1,5,5,0,0.0,0.0,6,"It's the manager's job to delegate work to the employees and Chris is an employee of the factory, so he should be just as responsible for maintenance as the other employees",3,3,4,5,4,5,"Chris probably wouldn't be overjoyed over having to maintain the component in addition to his other duties, but wouild most likely understand that he has to pull his weight. ",5,"He is making sure the factory is running smoothly by ensuring all the machinery is up and running properly and therefore, ensuring all of their jobs. ",1,48,1,3,1,0
3.1666666666666665,R_2PCozBBP2LUn7a0,4,3,3,the algorithm captures the tones and the manager evaluates them,0.0,0.0,7,it is very methodical and objective,4,2,2,2,5,6,he might not feel that the computer can fairly assess his quality,6,i believe computers' objectivity allows them to make decisions without using emotions,2,42,2,6,4,computer codes to capture tones
4.666666666666667,R_3sblojMwBb4nx8V,2,2,3,The algorithm performed the analysis and the manager used that result to make the schedule.,0.0,0.0,6,So long as Chris's stated availability is taken into account then the analysis should be perfectly fair.,4,4,2,2,2,2,If this schedule suits Chris and what his stated availability then he shouldn't have any problem with it.,5,If one of the variables is employee availability then that seems a trustworthy method.,1,55,2,7,1,Number crunching.
4.0,R_DTxqEJTdnfVSwHD,3,1,1,0,0.0,0.0,5,"IT SELECTS TOP APPLICANTS BASED ON RESUMES AND PERSONAL STATEMENTS. SO, IT IS PRETTY ACCURATE.",4,4,4,4,4,4,HE MIGHT THINK IT IS FAIR BUT HAVE DOUBTS SINCE BECAUSE IT IS NOT AN ACTUAL PERSON MAKING THE DECISION.,5,I THINK IT IS A ACCURATE SELECTION SYSTEM,1,43,1,3,2,COMPUTERS COMING UP WITH STATISTICS ABOUT FACTS.
